Age,Insurance,InsurancePlan,KMeansCluster
56,0,0,0
69,1,2,1
46,1,2,1
32,0,0,0
60,1,2,1
25,0,0,0
38,0,0,0
56,0,0,0
36,1,1,1
40,1,1,1
28,0,0,0
28,0,0,0
41,0,0,0
53,1,1,1
57,0,0,0
41,0,0,0
20,0,0,0
39,0,0,0
19,0,0,0
41,1,1,1
61,0,0,0
47,1,1,1
55,1,1,1
19,0,0,0
38,0,0,0
50,1,1,1
29,0,0,0
39,1,1,1
61,1,2,1
42,1,1,1
66,1,1,1
44,0,0,0
59,1,1,1
45,1,2,1
33,1,1,1
32,0,0,0
64,1,2,1
68,1,2,1
61,1,1,1
69,1,2,1
20,0,0,0
54,0,0,0
68,1,2,1
24,0,0,0
38,1,1,1
26,0,0,0
56,1,2,1
35,1,1,1
21,0,0,0
42,1,1,1
31,1,2,1
67,1,2,1
26,1,1,1
43,1,1,1
19,0,0,0
37,0,0,0
45,0,0,0
64,1,2,1
24,0,0,0
61,1,2,1
25,0,0,0
64,1,1,1
52,1,1,1
31,0,0,0
34,1,1,1
53,0,0,0
67,1,1,1
57,1,1,1
21,0,0,0
19,0,0,0
23,0,0,0
59,1,2,1
21,0,0,0
46,0,0,0
35,0,0,0
43,0,0,0
61,1,2,1
51,1,2,1
27,0,0,0
53,1,2,1
31,0,0,0
48,1,2,1
65,1,2,1
32,0,0,0
25,0,0,0
31,0,0,0
40,0,0,0
57,1,2,1
38,1,1,1
33,0,0,0
62,1,2,1
35,0,0,0
64,1,2,1
41,1,1,1
43,1,1,1
42,0,0,0
62,1,2,1
58,1,2,1
46,1,2,1
32,0,0,0
62,1,1,1
18,0,0,0
42,1,1,1
24,0,0,0
26,0,0,0
41,0,0,0
18,0,0,0
61,1,1,1
25,0,0,0
41,1,1,1
28,0,0,0
68,1,2,1
34,0,0,0
25,1,1,1
52,1,1,1
52,1,2,1
50,1,2,1
22,0,0,0
59,1,1,1
56,1,2,1
58,1,2,1
45,1,1,1
24,0,0,0
26,0,0,0
25,0,0,0
29,1,1,1
51,1,2,1
50,1,2,1
65,1,2,1
40,0,0,0
41,0,0,0
54,1,2,1
52,1,2,1
61,1,2,1
57,1,2,1
39,1,1,1
44,1,2,1
52,1,1,1
18,0,0,0
52,1,2,1
54,1,2,1
64,1,2,1
31,0,0,0
20,0,0,0
18,1,2,1
22,0,0,0
43,1,1,1
31,1,1,1
56,1,2,1
44,1,2,1
26,0,0,0
32,0,0,0
32,0,0,0
43,0,0,0
59,1,2,1
30,0,0,0
68,1,2,1
49,0,0,0
56,1,2,1
66,1,1,1
69,1,1,1
49,1,2,1
21,1,1,1
47,0,0,0
54,0,0,0
40,1,1,1
56,1,2,1
62,1,2,1
32,0,0,0
60,1,2,1
46,0,0,0
53,1,1,1
30,0,0,0
49,0,0,0
24,0,0,0
68,1,2,1
39,0,0,0
45,1,1,1
19,0,0,0
59,1,2,1
62,1,2,1
23,0,0,0
45,0,0,0
45,1,2,1
61,1,2,1
61,1,2,1
37,0,0,0
47,1,2,1
28,0,0,0
45,1,2,1
42,0,0,0
56,1,2,1
50,1,1,1
18,1,1,1
44,1,1,1
69,1,2,1
30,0,0,0
58,1,1,1
20,0,0,0
56,1,2,1
23,0,0,0
25,0,0,0
44,0,0,0
26,0,0,0
54,1,2,1
50,1,1,1
68,1,2,1
59,1,1,1
61,1,2,1
41,0,0,0
32,0,0,0
49,1,1,1
49,1,1,1
41,1,1,1
58,1,2,1
69,1,2,1
66,1,2,1
66,1,2,1
69,1,1,1
29,0,0,0
56,1,2,1
19,0,0,0
20,0,0,0
66,1,1,1
54,1,2,1
66,1,2,1
34,0,0,0
66,1,2,1
19,0,0,0
19,0,0,0
45,0,0,0
40,1,2,1
54,0,0,0
49,1,1,1
50,1,2,1
18,0,0,0
36,1,1,1
19,1,1,1
61,1,1,1
43,0,0,0
49,0,0,0
23,0,0,0
49,1,1,1
21,0,0,0
28,0,0,0
34,1,1,1
55,1,2,1
41,1,2,1
22,0,0,0
69,1,2,1
51,0,0,0
23,0,0,0
39,0,0,0
28,1,1,1
65,1,2,1
33,0,0,0
50,1,1,1
26,0,0,0
23,0,0,0
33,0,0,0
46,1,1,1
20,0,0,0
37,0,0,0
53,1,1,1
36,0,0,0
43,1,2,1
20,0,0,0
36,1,1,1
37,1,1,1
49,1,2,1
24,0,0,0
69,1,1,1
58,1,2,1
50,1,1,1
57,1,2,1
56,1,2,1
35,0,0,0
57,1,2,1
18,1,1,1
28,0,0,0
45,1,1,1
42,1,2,1
67,1,2,1
40,1,2,1
48,1,2,1
47,1,2,1
59,1,2,1
52,1,1,1
24,0,0,0
33,0,0,0
43,0,0,0
65,1,2,1
69,1,2,1
66,1,2,1
19,0,0,0
18,1,1,1
65,1,2,1
29,0,0,0
22,0,0,0
54,1,2,1
